outcome,group,timepoint,estimated_mean,lower_95_CI,upper_95_CI
HOMA-IR,Placebo,Baseline,2.479475828757475,1.8822076911460406,3.266270993531691
HOMA-IR,Placebo,3 months,2.493560463140666,1.892899550633256,3.284825008943637
HOMA-IR,Placebo,6 months,3.197289731719461,2.42711110714089,4.2118638897421095
HOMA-IR,Synbiotic,Baseline,2.6263110593814276,2.161279333114555,3.191401349629991
HOMA-IR,Synbiotic,3 months,1.9103162886667,1.5720632556677698,2.321349544675406
HOMA-IR,Synbiotic,6 months,2.006140903366728,1.6465283794517753,2.4442951450986192
Insulin,Placebo,Baseline,11.24012952504512,8.648526530420305,14.608327938337386
Insulin,Placebo,3 months,11.26436484370952,8.66717398425749,14.639825572056893
Insulin,Placebo,6 months,14.369568257164156,11.056419948352044,18.675529046640104
Insulin,Synbiotic,Baseline,11.740496476551401,9.754321544002085,14.13109634474506
Insulin,Synbiotic,3 months,8.334059577304094,6.9241617717152035,10.031040771141432
Insulin,Synbiotic,6 months,8.83927550144778,7.317843130448431,10.677024636589472
LDL-C,Placebo,Baseline,2.528235294117642,2.1346220467538153,2.9218485414814683
LDL-C,Placebo,3 months,2.1252941176470532,1.7316808702832267,2.5189073650108798
LDL-C,Placebo,6 months,2.4517647058823484,2.058151458518522,2.845377953246175
LDL-C,Synbiotic,Baseline,3.099999999999998,2.821673403624178,3.3783265963758176
LDL-C,Synbiotic,3 months,2.073529411764704,1.7952028153888842,2.3518560081405235
LDL-C,Synbiotic,6 months,2.419235784240598,2.1285745814054815,2.709896987075714
HDL-C,Placebo,Baseline,1.1805882352941202,0.9803313258159977,1.3808451447722425
HDL-C,Placebo,3 months,0.9300000000000025,0.72974309052188,1.130256909478125
HDL-C,Placebo,6 months,1.03058823529412,0.8303313258159976,1.2308451447722426
HDL-C,Synbiotic,Baseline,1.170000000000001,1.02839698132856,1.311603018671442
HDL-C,Synbiotic,3 months,1.4914705882352952,1.3498675695638542,1.6330736069067362
HDL-C,Synbiotic,6 months,1.054056723027629,0.9062568863011982,1.2018565597540598
